Player,Year,Tm,G,GS,Tgt,Receptions,Yds,Rec Y/R,TD,Rec Y/G,Rec Ctch%,Y/Tgt
Kendall Wright,2013,TEN,16,12,139,94,1079,11.48,2,67.4,67.60%,7.76
Kendall Wright,2014,TEN,14,11,93,57,715,12.54,6,51.1,61.30%,7.69
Robert Woods,2017,LAR,12,11,85,56,781,13.95,5,65.1,65.90%,9.19
Robert Woods,2018,LAR,16,16,130,86,1219,14.17,6,76.2,66.20%,9.38
Robert Woods,2019,LAR,15,15,139,90,1134,12.6,2,75.6,64.70%,8.16
Tyrell Williams,2016,SDG,16,12,119,69,1059,15.35,7,66.2,58.00%,8.9
Tyrell Williams,2017,LAC,16,15,69,43,728,16.93,4,45.5,62.30%,10.55
Terrance Williams,2013,DAL,16,8,74,44,736,16.73,5,46,59.50%,9.95
Terrance Williams,2015,DAL,16,13,93,52,840,16.15,3,52.5,55.90%,9.03
Mike Williams,2010,SEA,14,13,110,65,751,11.55,2,53.6,59.10%,6.83
Mike Williams,2010,TAM,16,16,129,65,964,14.83,11,60.3,50.40%,7.47
Mike Williams,2011,TAM,16,15,124,65,771,11.86,3,48.2,52.40%,6.22
Mike Williams,2012,TAM,16,16,126,63,996,15.81,9,62.3,50.00%,7.9
Mike Williams,2019,LAC,15,15,90,49,1001,20.43,2,66.7,54.40%,11.12
Roddy White,2010,ATL,16,16,179,115,1389,12.08,10,86.8,64.20%,7.76
Roddy White,2011,ATL,16,16,180,100,1296,12.96,8,81,55.60%,7.2
Roddy White,2012,ATL,16,15,142,92,1351,14.68,7,84.4,64.80%,9.51
Roddy White,2013,ATL,13,13,97,63,711,11.29,3,54.7,64.90%,7.33
Roddy White,2014,ATL,14,14,125,80,921,11.51,7,65.8,64.00%,7.37
Markus Wheaton,2015,PIT,16,8,79,44,749,17.02,5,46.8,55.70%,9.48
Dede Westbrook,2018,JAX,16,9,101,66,717,10.86,5,44.8,65.30%,7.1
Wes Welker,2010,NWE,15,11,123,86,848,9.86,7,56.5,69.90%,6.89
Wes Welker,2011,NWE,16,15,173,122,1569,12.86,9,98.1,70.50%,9.07
Wes Welker,2012,NWE,16,12,174,118,1354,11.47,6,84.6,67.80%,7.78
Wes Welker,2013,DEN,13,13,111,73,778,10.66,10,59.8,65.80%,7.01
Reggie Wayne,2010,IND,16,16,175,111,1355,12.21,6,84.7,63.40%,7.74
Reggie Wayne,2011,IND,16,16,132,75,960,12.8,4,60,56.80%,7.27
Reggie Wayne,2012,IND,16,15,195,106,1355,12.78,5,84.7,54.40%,6.95
Reggie Wayne,2014,IND,15,15,116,64,779,12.17,2,51.9,55.20%,6.72
Sammy Watkins,2014,BUF,16,16,128,65,982,15.11,6,61.4,50.80%,7.67
Sammy Watkins,2015,BUF,13,13,96,60,1047,17.45,9,80.5,62.50%,10.91
Nate Washington,2011,TEN,16,15,121,74,1023,13.82,7,63.9,61.20%,8.45
Nate Washington,2012,TEN,16,14,89,46,746,16.22,4,46.6,51.70%,8.38
Nate Washington,2013,TEN,16,15,105,58,919,15.84,3,57.4,55.20%,8.75
James Washington,2019,PIT,15,10,80,44,735,16.7,3,49,55.00%,9.19
Hines Ward,2010,PIT,16,15,95,59,755,12.8,5,47.2,62.10%,7.95
Mike Wallace,2010,PIT,16,16,98,60,1257,20.95,10,78.6,61.20%,12.83
Mike Wallace,2011,PIT,16,14,114,72,1193,16.57,8,74.6,63.20%,10.46
Mike Wallace,2012,PIT,15,14,119,64,836,13.06,8,55.7,53.80%,7.03
Mike Wallace,2013,MIA,16,16,141,73,930,12.74,5,58.1,51.80%,6.6
Mike Wallace,2014,MIA,16,16,115,67,862,12.87,10,53.9,58.30%,7.5
Mike Wallace,2016,BAL,16,16,116,72,1017,14.13,4,63.6,62.10%,8.77
Mike Wallace,2017,BAL,15,14,92,52,748,14.38,4,49.9,56.50%,8.13
Mike Thomas,2010,JAX,16,11,102,66,820,12.42,4,51.3,64.70%,8.04
Michael Thomas,2016,NOR,15,12,121,92,1137,12.36,9,75.8,76.00%,9.4
Michael Thomas,2017,NOR,16,14,149,104,1245,11.97,5,77.8,69.80%,8.36
Michael Thomas,2018,NOR,16,16,147,125,1405,11.24,9,87.8,85.00%,9.56
Michael Thomas,2019,NOR,16,15,185,149,1725,11.58,9,107.8,80.50%,9.32
Demaryius Thomas,2012,DEN,16,16,143,94,1434,15.26,10,89.6,65.70%,10.03
Demaryius Thomas,2013,DEN,16,16,142,92,1430,15.54,14,89.4,64.80%,10.07
Demaryius Thomas,2014,DEN,16,16,184,111,1619,14.59,11,101.2,60.30%,8.8
Demaryius Thomas,2015,DEN,16,16,177,105,1304,12.42,6,81.5,59.30%,7.37
Demaryius Thomas,2016,DEN,16,16,144,90,1083,12.03,5,67.7,62.50%,7.52
Demaryius Thomas,2017,DEN,16,16,140,83,949,11.43,5,59.3,59.30%,6.78
Adam Thielen,2016,MIN,16,10,92,69,967,14.01,5,60.4,75.00%,10.51
Adam Thielen,2017,MIN,16,16,142,91,1276,14.02,4,79.8,64.10%,8.99
Adam Thielen,2018,MIN,16,16,153,113,1373,12.15,9,85.8,73.90%,8.97
Golden Tate,2013,SEA,16,13,99,64,898,14.03,5,56.1,64.60%,9.07
Golden Tate,2014,DET,16,16,144,99,1331,13.44,4,83.2,68.80%,9.24
Golden Tate,2015,DET,16,16,128,90,813,9.03,6,50.8,70.30%,6.35
Golden Tate,2016,DET,16,16,135,91,1077,11.84,4,67.3,67.40%,7.98
Golden Tate,2017,DET,16,12,120,92,1003,10.9,5,62.7,76.70%,8.36
Golden Tate,2018,2TM,15,8,113,74,795,10.74,4,53,65.50%,7.04
Courtland Sutton,2018,DEN,16,9,84,42,704,16.76,4,44,50.00%,8.38
Courtland Sutton,2019,DEN,16,14,124,72,1112,15.44,6,69.5,58.10%,8.97
Rod Streater,2013,OAK,16,14,100,60,888,14.8,4,55.5,60.00%,8.88
Kenny Stills,2014,NOR,15,7,83,63,931,14.78,3,62.1,75.90%,11.22
Kenny Stills,2016,MIA,16,16,81,42,726,17.29,9,45.4,51.90%,8.96
Kenny Stills,2017,MIA,16,16,105,58,847,14.6,6,52.9,55.20%,8.07
Willie Snead,2015,NOR,15,9,101,69,984,14.26,3,65.6,68.30%,9.74
Willie Snead,2016,NOR,15,4,104,72,895,12.43,4,59.7,69.20%,8.61
JuJu Smith-Schuster,2017,PIT,14,7,79,58,917,15.81,7,65.5,73.40%,11.61
JuJu Smith-Schuster,2018,PIT,16,13,166,111,1426,12.85,7,89.1,66.90%,8.59
Torrey Smith,2011,BAL,16,14,95,50,841,16.82,7,52.6,52.60%,8.85
Torrey Smith,2012,BAL,16,16,110,49,855,17.45,8,53.4,44.50%,7.77
Torrey Smith,2013,BAL,16,16,137,65,1128,17.35,4,70.5,47.40%,8.23
Torrey Smith,2014,BAL,16,16,92,49,767,15.65,11,47.9,53.30%,8.34
Steve Smith,2011,CAR,16,16,129,79,1394,17.65,7,87.1,61.20%,10.81
Steve Smith,2012,CAR,16,16,137,73,1174,16.08,4,73.4,53.30%,8.57
Steve Smith,2013,CAR,15,15,110,64,745,11.64,4,49.7,58.20%,6.77
Steve Smith,2014,BAL,16,16,134,79,1065,13.48,6,66.6,59.00%,7.95
Steve Smith,2016,BAL,14,14,101,70,799,11.41,5,57.1,69.30%,7.91
Darius Slayton,2019,NYG,14,9,84,48,740,15.42,8,52.9,57.10%,8.81
Jerome Simpson,2011,CIN,16,14,105,50,725,14.5,4,45.3,47.60%,6.9
Jerome Simpson,2013,MIN,16,8,100,48,726,15.13,1,45.4,48.00%,7.26
Cecil Shorts,2012,JAX,14,9,105,55,979,17.8,7,69.9,52.40%,9.32
Cecil Shorts,2013,JAX,13,13,123,66,777,11.77,3,59.8,53.70%,6.32
Sterling Shepard,2017,NYG,11,10,84,59,731,12.39,2,66.5,70.20%,8.7
Sterling Shepard,2018,NYG,16,16,107,66,872,13.21,4,54.5,61.70%,8.15
Mohamed Sanu,2014,CIN,16,13,98,56,790,14.11,5,49.4,57.10%,8.06
Mohamed Sanu,2017,ATL,15,15,96,67,703,10.49,5,46.9,69.80%,7.32
Mohamed Sanu,2018,ATL,16,16,94,66,838,12.7,4,52.4,70.20%,8.91
Emmanuel Sanders,2013,PIT,16,10,113,67,740,11.04,6,46.3,59.30%,6.55
Emmanuel Sanders,2014,DEN,16,16,141,101,1404,13.9,9,87.8,71.60%,9.96
Emmanuel Sanders,2015,DEN,15,15,136,76,1135,14.93,6,75.7,55.90%,8.35
Emmanuel Sanders,2016,DEN,16,16,137,79,1032,13.06,5,64.5,57.70%,7.53
Emmanuel Sanders,2018,DEN,12,12,98,71,868,12.23,4,72.3,72.40%,8.86
Emmanuel Sanders,2019,2TM,17,16,97,66,869,13.17,5,51.1,68.00%,8.96
Deebo Samuel,2019,SFO,15,11,81,57,802,14.07,3,53.5,70.40%,9.9
Eddie Royal,2014,SDG,16,11,91,62,778,12.55,7,48.6,68.10%,8.55
,,,,,,,,,,,,
,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Laurent Robinson,2011,DAL,14,4,80,54,858,15.89,11,61.3,67.50%,10.73
Allen Robinson,2015,JAX,16,16,151,80,1400,17.5,14,87.5,53.00%,9.27
Allen Robinson,2016,JAX,16,16,151,73,883,12.1,6,55.2,48.30%,5.85
Allen Robinson,2018,CHI,13,12,94,55,754,13.71,4,58,58.50%,8.02
Allen Robinson,2019,CHI,16,15,154,98,1147,11.7,7,71.7,63.60%,7.45
Andre Roberts,2012,ARI,15,15,114,64,759,11.86,5,50.6,56.10%,6.66
Calvin Ridley,2018,ATL,16,5,92,64,821,12.83,10,51.3,69.60%,8.92
Calvin Ridley,2019,ATL,13,10,93,63,866,13.75,7,66.6,67.70%,9.31
Paul Richardson,2017,SEA,16,13,80,44,703,15.98,6,43.9,55.00%,8.79
Sidney Rice,2012,SEA,16,16,82,50,748,14.96,7,46.8,61.00%,9.12
Rueben Randle,2014,NYG,16,13,127,71,938,13.21,3,58.6,55.90%,7.39
Rueben Randle,2015,NYG,16,16,90,57,797,13.98,8,49.8,63.30%,8.86
Terrelle Pryor,2016,CLE,16,15,140,77,1007,13.08,4,62.9,55.00%,7.19
DeVante Parker,2016,MIA,15,8,87,56,744,13.29,4,49.6,64.40%,8.55
DeVante Parker,2019,MIA,16,14,128,72,1202,16.69,9,75.1,56.30%,9.39
Terrell Owens*,2010,CIN,14,11,139,72,983,13.65,9,70.2,51.80%,7.07
Hakeem Nicks,2010,NYG,13,12,128,79,1052,13.32,11,80.9,61.70%,8.22
Hakeem Nicks,2011,NYG,15,15,133,76,1192,15.68,7,79.5,57.10%,8.96
Hakeem Nicks,2013,NYG,15,15,101,56,896,16,0,59.7,55.40%,8.87
Jordy Nelson,2011,GNB,16,9,96,68,1263,18.57,15,78.9,70.80%,13.16
Jordy Nelson,2012,GNB,12,10,73,49,745,15.2,7,62.1,67.10%,10.21
Jordy Nelson,2013,GNB,16,16,127,85,1314,15.46,8,82.1,66.90%,10.35
Jordy Nelson,2014,GNB,16,16,151,98,1519,15.5,13,94.9,64.90%,10.06
Jordy Nelson,2016,GNB,16,16,152,97,1257,12.96,14,78.6,63.80%,8.27
Jordy Nelson,2018,OAK,15,14,88,63,739,11.73,3,49.3,71.60%,8.4
Santana Moss,2010,WAS,16,16,145,93,1115,11.99,6,69.7,64.10%,7.69
Lance Moore,2010,NOR,16,1,94,66,763,11.56,8,47.7,70.20%,8.12
Lance Moore,2012,NOR,15,7,104,65,1041,16.02,6,69.4,62.50%,10.01
Denarius Moore,2012,OAK,15,15,114,51,741,14.53,7,49.4,44.70%,6.5
D.J. Moore,2018,CAR,16,10,82,55,788,14.33,2,49.3,67.10%,9.61
D.J. Moore,2019,CAR,15,15,135,87,1175,13.51,4,78.3,64.40%,8.7
Donte Moncrief,2015,IND,16,10,105,64,733,11.45,6,45.8,61.00%,6.98
D.K. Metcalf,2019,SEA,16,15,100,58,900,15.52,7,56.3,58.00%,9
Cameron Meredith,2016,CHI,14,10,97,66,888,13.45,4,63.4,68.00%,9.15
Terry McLaurin,2019,WAS,14,14,93,58,919,15.84,7,65.6,62.40%,9.88
Rishard Matthews,2016,TEN,16,10,108,65,945,14.54,9,59.1,60.20%,8.75
Rishard Matthews,2017,TEN,14,11,87,53,795,15,4,56.8,60.90%,9.14
Jordan Matthews,2014,PHI,16,10,103,67,872,13.01,8,54.5,65.00%,8.47
Jordan Matthews,2015,PHI,16,13,126,85,997,11.73,8,62.3,67.50%,7.91
Jordan Matthews,2016,PHI,14,13,117,73,804,11.01,3,57.4,62.40%,6.87
Derrick Mason,2010,BAL,16,15,100,61,802,13.15,7,50.1,61.00%,8.02
Brandon Marshall,2010,MIA,14,14,146,86,1014,11.79,3,72.4,58.90%,6.95
Brandon Marshall,2011,MIA,16,16,141,81,1214,14.99,6,75.9,57.40%,8.61
Brandon Marshall,2012,CHI,16,16,192,118,1508,12.78,11,94.3,61.50%,7.85
Brandon Marshall,2013,CHI,16,16,164,100,1295,12.95,12,80.9,61.00%,7.9
Brandon Marshall,2014,CHI,13,13,106,61,721,11.82,8,55.5,57.50%,6.8
Brandon Marshall,2015,NYJ,16,16,173,109,1502,13.78,14,93.9,63.00%,8.68
Brandon Marshall,2016,NYJ,15,15,128,59,788,13.36,3,52.5,46.10%,6.16
Mario Manningham,2010,NYG,16,8,93,60,944,15.73,9,59,64.50%,10.15
Jeremy Maclin,2010,PHI,16,16,115,70,964,13.77,10,60.3,60.90%,8.38
Jeremy Maclin,2011,PHI,13,13,96,63,859,13.63,5,66.1,65.60%,8.95
Jeremy Maclin,2012,PHI,15,15,122,69,857,12.42,7,57.1,56.60%,7.02
Jeremy Maclin,2014,PHI,16,16,143,85,1318,15.51,10,82.4,59.40%,9.22
Jeremy Maclin,2015,KAN,15,15,124,87,1088,12.51,8,72.5,70.20%,8.77
Tyler Lockett,2018,SEA,16,14,70,57,965,16.93,10,60.3,81.40%,13.79
Tyler Lockett,2019,SEA,16,16,110,82,1057,12.89,8,66.1,74.50%,9.61
Brandon Lloyd,2010,DEN,16,11,153,77,1448,18.81,11,90.5,50.30%,9.46
Brandon Lloyd,2011,2TM,15,14,148,70,966,13.8,5,64.4,47.30%,6.53
Brandon Lloyd,2012,NWE,16,15,131,74,911,12.31,4,56.9,56.50%,6.95
Greg Little,2011,CLE,16,12,119,61,709,11.62,2,44.3,51.30%,5.96
Marqise Lee,2016,JAX,16,6,105,63,851,13.51,3,53.2,60.00%,8.1
Marqise Lee,2017,JAX,14,14,96,56,702,12.54,3,50.1,58.30%,7.31
Jarvis Landry,2014,MIA,16,11,112,84,758,9.02,5,47.4,75.00%,6.77
Jarvis Landry,2015,MIA,16,14,166,110,1157,10.52,4,72.3,66.30%,6.97
Jarvis Landry,2016,MIA,16,16,131,94,1136,12.09,4,71,71.80%,8.67
Jarvis Landry,2017,MIA,16,16,161,112,987,8.81,9,61.7,69.60%,6.13
Jarvis Landry,2018,CLE,16,14,149,81,976,12.05,4,61,54.40%,6.55
Jarvis Landry,2019,CLE,16,16,138,83,1174,14.14,6,73.4,60.10%,8.51
Brandon LaFell,2014,NWE,16,13,119,74,953,12.88,7,59.6,62.20%,8.01
Brandon LaFell,2016,CIN,16,14,107,64,862,13.47,6,53.9,59.80%,8.06
Cooper Kupp,2017,LAR,15,6,94,62,869,14.02,5,57.9,66.00%,9.24
Cooper Kupp,2019,LAR,16,14,134,94,1161,12.35,10,72.6,70.10%,8.66
Johnny Knox,2010,CHI,16,16,100,51,960,18.82,5,60,51.00%,9.6
Johnny Knox,2011,CHI,14,11,69,37,727,19.65,2,51.9,53.60%,10.54
Christian Kirk,2019,ARI,13,13,108,68,709,10.43,3,54.5,63.00%,6.56
Jeremy Kerley,2012,NYJ,16,7,95,56,827,14.77,2,51.7,58.90%,8.71
Jermaine Kearse,2017,NYJ,16,14,102,65,810,12.46,5,50.6,63.70%,7.94
Marvin Jones,2013,CIN,16,3,80,51,712,13.96,10,44.5,63.80%,8.9
Marvin Jones,2015,CIN,16,13,103,65,816,12.55,4,51,63.10%,7.92
Marvin Jones,2016,DET,15,15,103,55,930,16.91,4,62,53.40%,9.03
Marvin Jones,2017,DET,16,16,107,61,1101,18.05,9,68.8,57.00%,10.29
Marvin Jones,2019,DET,13,11,91,62,779,12.56,9,59.9,68.10%,8.56
Julio Jones,2011,ATL,13,13,95,54,959,17.76,8,73.8,56.80%,10.09
Julio Jones,2012,ATL,16,15,128,79,1198,15.16,10,74.9,61.70%,9.36
Julio Jones,2014,ATL,15,15,163,104,1593,15.32,6,106.2,63.80%,9.77
Julio Jones,2015,ATL,16,16,203,136,1871,13.76,8,116.9,67.00%,9.22
Julio Jones,2016,ATL,14,14,129,83,1409,16.98,6,100.6,64.30%,10.92
Julio Jones,2017,ATL,16,16,148,88,1444,16.41,3,90.3,59.50%,9.76
Julio Jones,2018,ATL,16,16,170,113,1677,14.84,8,104.8,66.50%,9.86
Julio Jones,2019,ATL,15,15,157,99,1394,14.08,6,92.9,63.10%,8.88
James Jones,2012,GNB,16,16,98,64,784,12.25,14,49,65.30%,8
James Jones,2013,GNB,14,14,93,59,817,13.85,3,58.4,63.40%,8.78
James Jones,2015,GNB,16,15,99,50,890,17.8,8,55.6,50.50%,8.99
Steve Johnson,2010,BUF,16,13,141,82,1073,13.09,10,67.1,58.20%,7.61
Steve Johnson,2011,BUF,16,16,134,76,1004,13.21,7,62.8,56.70%,7.49
Steve Johnson,2012,BUF,16,16,148,79,1046,13.24,6,65.4,53.40%,7.07
Chad Johnson,2010,CIN,14,12,126,67,831,12.4,4,59.4,53.20%,6.6
Calvin Johnson,2010,DET,15,15,137,77,1120,14.55,12,74.7,56.20%,8.18
Calvin Johnson,2011,DET,16,16,158,96,1681,17.51,16,105.1,60.80%,10.64
Calvin Johnson,2012,DET,16,16,204,122,1964,16.1,5,122.8,59.80%,9.63
,,,,,,,,,,,,
,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Calvin Johnson,2013,DET,14,14,156,84,1492,17.76,12,106.6,53.80%,9.56
Calvin Johnson,2014,DET,13,13,128,71,1077,15.17,8,82.8,55.50%,8.41
Calvin Johnson,2015,DET,16,16,149,88,1214,13.8,9,75.9,59.10%,8.15
Andre Johnson,2010,HOU,13,13,138,86,1216,14.14,8,93.5,62.30%,8.81
Andre Johnson,2012,HOU,16,16,162,112,1598,14.27,4,99.9,69.10%,9.86
Andre Johnson,2013,HOU,16,16,181,109,1407,12.91,5,87.9,60.20%,7.77
Andre Johnson,2014,HOU,15,15,146,85,936,11.01,3,62.4,58.20%,6.41
Greg Jennings,2010,GNB,16,16,125,76,1265,16.64,12,79.1,60.80%,10.12
Greg Jennings,2011,GNB,13,13,101,67,949,14.16,9,73,66.30%,9.4
Greg Jennings,2013,MIN,15,15,106,68,804,11.82,4,53.6,64.20%,7.58
Greg Jennings,2014,MIN,16,13,92,59,742,12.58,6,46.4,64.10%,8.07
Alshon Jeffery,2013,CHI,16,14,148,89,1421,15.97,7,88.8,60.10%,9.6
Alshon Jeffery,2014,CHI,16,16,145,85,1133,13.33,10,70.8,58.60%,7.81
Alshon Jeffery,2015,CHI,9,8,94,54,807,14.94,4,89.7,57.40%,8.59
Alshon Jeffery,2016,CHI,12,12,94,52,821,15.79,2,68.4,55.30%,8.73
Alshon Jeffery,2017,PHI,16,16,120,57,789,13.84,9,49.3,47.50%,6.58
